"Fix"	"Subno"	"Fix"	"Incon"
"eyes"	"1"	6.58827936380212	6.67048880364349
"eyes"	"2"	6.20044355199425	6.05914218572266
"eyes"	"3"	6.53245715389058	6.61218404136088
"eyes"	"4"	6.62634305593135	6.60455735631962
"eyes"	"6"	6.25091797058879	6.22248394528803
"eyes"	"7"	6.55996177503493	6.4995439418732
"eyes"	"8"	6.60133751183482	6.56224752434657
"eyes"	"9"	6.43192639291727	6.44907081666648
"eyes"	"10"	6.80323067359065	7.01551826312465
"eyes"	"11"	6.82149386098	6.72500759826866
"eyes"	"12"	6.31602102318993	6.40404541998047
"eyes"	"13"	6.39365588173151	6.42444998355294
"eyes"	"14"	6.44432079767663	6.38595185519344
"eyes"	"15"	6.56347919785257	6.53437667739548
"eyes"	"16"	6.62573786203219	6.56216140938603
"eyes"	"17"	6.39370175484596	6.51612935610787
"eyes"	"18"	6.21786744507642	6.23938318402232
"eyes"	"19"	6.3087787032267	6.37874980799043
"eyes"	"20"	6.25570558989557	6.31468829264118
"eyes"	"21"	6.64318522629574	6.61777750695535
"eyes"	"22"	6.52610693227979	6.55285864134885
"eyes"	"23"	6.35275194551241	6.31550823688741
"eyes"	"25"	6.38089556905975	6.3631674253074
"eyes"	"26"	6.26372524181801	6.19665440615459
"eyes"	"27"	6.78303479803815	6.7532270758357
"forehead"	"1"	6.66060653566169	6.71701300816171
"forehead"	"2"	6.02670670644559	5.99896171370035
"forehead"	"3"	6.569129371109	6.49809565136713
"forehead"	"4"	6.65069560967253	6.62076720093843
"forehead"	"6"	6.1982500713687	6.2193365614533
"forehead"	"7"	6.49867121908028	6.57207252573533
"forehead"	"8"	6.52881787595222	6.57473315670063
"forehead"	"9"	6.48915270674473	6.49976456746569
"forehead"	"10"	6.96226479015349	6.88626027810776
"forehead"	"11"	6.79307953086767	6.72446324563364
"forehead"	"12"	6.10970775424325	6.25393543507392
"forehead"	"13"	6.35818606706365	6.41005057598858
"forehead"	"14"	6.41697941127591	6.34950548573803
"forehead"	"15"	6.56090950771324	6.55352007256452
"forehead"	"16"	6.61693141850077	6.62461353685395
"forehead"	"17"	6.42644777449761	6.39441954284979
"forehead"	"18"	6.31113138898165	6.33403903209282
"forehead"	"19"	6.42023001826522	6.32944883855963
"forehead"	"20"	6.39313130021153	6.36440294819248
"forehead"	"21"	6.64947707197869	6.57620527319522
"forehead"	"22"	6.58415914638412	6.54509595826248
"forehead"	"23"	6.27267366625583	6.35387697220446
"forehead"	"25"	6.31709739586489	6.36085119677866
"forehead"	"26"	6.28847396920738	6.27525999136997
"forehead"	"27"	6.73100466767227	6.7789065239123
