Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		success			2		753	5	1
1	2		vomit			1		526	4	1
1	3		poison			1		511	4	1
1	4		pest			1		476	4	1
1	5		success			2		514	5	1
1	6		garbage			1		480	4	1
1	7		smile			2		472	5	1
1	8		love			2		478	5	1
1	9		poison			1		467	4	1
1	10		pest			1		521	4	1
1	11		romance			2		505	5	1
1	12		vacation			2		503	5	1
1	13		despair			1		466	4	1
1	14		romance			2		488	5	1
1	15		paradise			2		528	5	1
1	16		disgust			1		464	4	1
1	17		vacation			2		627	5	1
1	18		cockroach			1		457	4	1
1	19		beauty			2		492	5	1
1	20		smile			2		487	5	1
1	21		vomit			1		463	4	1
1	22		joy			2		530	5	1
1	23		joy			2		466	5	1
1	24		sewage			1		520	4	1
1	25		cockroach			1		472	4	1
1	26		sewage			1		478	4	1
1	27		disgust			1		564	4	1
1	28		despair			1		652	5	1
1	29		garbage			1		583	4	1
1	30		beauty			2		642	5	1
1	31		paradise			2		506	5	1
1	32		love			2		504	5	1
