Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		despair			1		833	4	1
1	2		smile			2		495	5	1
1	3		cockroach			1		586	4	1
1	4		beauty			2		552	5	1
1	5		smile			2		525	5	1
1	6		vomit			1		542	4	1
1	7		garbage			1		625	4	1
1	8		disgust			1		532	4	1
1	9		pest			1		612	4	1
1	10		romance			2		519	5	1
1	11		success			2		535	5	1
1	12		success			2		570	5	1
1	13		beauty			2		595	5	1
1	14		disgust			1		560	4	1
1	15		joy			2		537	5	1
1	16		pest			1		572	4	1
1	17		cockroach			1		519	4	1
1	18		garbage			1		567	4	1
1	19		paradise			2		639	5	1
1	20		joy			2		472	5	1
1	21		sewage			1		589	4	1
1	22		sewage			1		459	4	1
1	23		poison			1		622	4	1
1	24		love			2		497	5	1
1	25		romance			2		524	5	1
1	26		vacation			2		604	5	1
1	27		poison			1		525	4	1
1	28		vomit			1		541	4	1
1	29		despair			1		528	4	1
1	30		vacation			2		720	5	1
1	31		love			2		569	5	1
1	32		paradise			2		593	5	1
