Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		sewage			1		1220	4	1
1	2		despair			1		944	4	1
1	3		beauty			2		515	5	1
1	4		paradise			2		576	5	1
1	5		smile			2		523	5	1
1	6		love			2		476	5	1
1	7		vacation			2		545	5	1
1	8		romance			2		487	5	1
1	9		romance			2		527	5	1
1	10		pest			1		624	4	1
1	11		love			2		451	5	1
1	12		beauty			2		499	5	1
1	13		vacation			2		526	5	1
1	14		poison			1		574	4	1
1	15		joy			2		553	5	1
1	16		joy			2		431	5	1
1	17		sewage			1		557	4	1
1	18		success			2		594	5	1
1	19		cockroach			1		528	4	1
1	20		paradise			2		480	5	1
1	21		vomit			1		521	4	1
1	22		success			2		473	5	1
1	23		cockroach			1		559	4	1
1	24		smile			2		455	5	1
1	25		garbage			1		602	4	1
1	26		disgust			1		602	4	1
1	27		pest			1		587	4	1
1	28		poison			1		696	4	1
1	29		vomit			1		539	4	1
1	30		disgust			1		494	4	1
1	31		despair			1		489	4	1
1	32		garbage			1		450	4	1
