Item	F1.Dunton	F2.Dunton	F1.curr	F2.curr	OneFactorSol
1	0.51	-0.07	0.41	-0.01	0.27
2	-0.04	0.75	0.16	0.05	0.11
3	0.7	-0.09	0.11	0.68	0.48
4	0.02	0.43	0.17	0.51	0.46
5	0.29	0.4	0.05	0.49	0.35
6	0.69	0.1	0.58	0.21	0.57
7	0.3	0.29	0.05	0.36	0.32
8	0.18	0.13	0.32	-0.24	0.03
9	0.16	0.7	0.11	0.38	0.32
10	0.43	0.11	0.41	0.04	0.4
11	0.67	0.03	0.23	0.73	0.6
12	0.68	0.07	0.49	0.47	0.74
13	0.63	0.21	0.59	0.17	0.56
14	0.58	0.22	0.96	-0.04	0.58
15	0.56	0.1	0.28	0.28	0.47
16	-0.02	0.75	-0.03	0.4	0.22
17	0.06	0.32	0.08	-0.21	-0.09
