Subno	MTCP1	MTCP2	MTCP3	MTCP4	MTCP5	MTCP6	MTCP7	MTCP8	MTCP9	MTCP10	MTCP11	MTCP12	MTCP13	MTCP14	MTCP15	MTCP16	MTCP17
1	5	4	4	4	4	4	4	4	4	4	4	4	7	4	4	4	4
2	5	6	3	1	6	2	5	3	6	3	2	2	3	3	2	6	2
3	5	4	3	3	6	5	2	5	7	3	4	4	5	4	5	5	3
4	6	6	6	2	5	6	3	2	5	5	5	5	5	5	5	6	2
5	5	3	4	3	4	6	3	2	3	5	5	5	7	5	4	4	4
6	7	6	3	1	7	5	3	2	7	6	2	4	5	5	5	6	2
7	7	3	5	3	2	7	5	1	1	7	6	7	7	7	7	3	6
8	4	6	5	5	5	6	3		4	3	4	5	5	5	2	5	5
9	2	6	6	2	4	5	3	3	6	4	4	5	5	4	5	5	3
10	6	3	4	4	4	4	2	2	3	4	1	1	5	5	5	5	5
11	5	3	3	2	5	5	5	4	5	3	2	4	5	3	4	5	5
12	7	3	5	4	3	7	5	3	4	3	6	7	7	5	6	5	6
13	5	2	2	1	1	6	2	2	7	3	1	2	6	6	6	7	1
14	4	5	1	4	5	6	6	1	5	4	4	4	5	4	4	4	1
15		5	3	1	4	1	2	4	7	4	2	2	2	4	2	7	4
16	5	5	4	1	3	4	3	3	3	4	6	4	6	5	4	7	4
17	6	7	2	1	7	1	4	1	4	3	1	1	3	4	3	6	4
18	6	2	3	2	7	6	4	2	2	4	1	1	6	6	5	2	3
19	6	5	5	2	2	6	4	2	3	4	5	4	6	6	6	3	2
20	7	4	5	3	2	7	4	4	6	4	5	4	6	7	2	6	7
21	1	2	3	4	5	6	7	6	5	4	3	2	1	2	3	4	5
22	2	6	5	4	3	4	3	2	4	5	5	5	7	5	5	4	3
23	7	5	4	3	7	7	5	2	3	4	6	5	6	6	3	3	2
24																	
25	7	6	7	6	6	5	2	2	6	6	7	7	7	7	2	6	1
26	6	3	2	5	7	6	1	6	7	7	2	7	7	7	7	7	4
27	6	4	5	5	3	3	4	4	5	4	5	4	5	4	5	3	3
28	5	4	6	6	4	5	5	4	4	4	5	6	3	4	4	4	6
29	7	3	7	5	2	7	3	1	2	1	4	5	2	7	3	3	2
30	5	1	2	3	7	5	4	1	4	3	1	3	5	6	1	6	3
31	4	1	5	2	5	7	6	2	5	6	1	6	7	7	6	6	2
32	4	5	4	2	5	5	4	4	4	4	4	6	4	4	4	4	7
33	4	4	4	3	5	5	4	2	3	3	4	5	5	3		5	2
34	7	2	3	5	4	7	5	2	2	6	4	7	7	7	4	2	4
35	3	5	4	6	6	7	7	2	5	3	6	7	7	7	6	5	4
36	5	7	4	6	6	2	3	1	6	2	2	4	5	4	5	7	7
37	6	7	2	2	6	6	4	4	5	5	1	7	4	6	4	7	2
38	6	5	3	3	3	5	5	2	4	4	3	6	6	5	5	3	2
39																	
40	7	6	1	5	7	7	5	1	7	7	1	6	5	7	7	7	7
41	3	3	2	1	6	5	4	2	3	6	4	5	5	6	4	5	4
42	5	5	3	1	7	3	2	2	6	4	2	2	6	5	3	3	4
43	6	5	3	3	6	3	3	3	5	5	3	5	6	6	4	5	2
44	5	4	7	4	4	6	7	5	4	7	7	6	7	7	7	5	7
45	5	7	7	1	4	3	1	2	5	3	2	6	6	5	7	6	4
46	6	2	1	1	6	7	2	1	7	3	5	2	6	7	3	6	5
47																	
48	4	7	3	1	5	6	6	1	5	4	3	6	7	7	4	6	3
49	7	7	3	1	2	7	5	1	2	5	2	5	6	5	6	5	2
50	6	2	4	3	4	5	4	2	3	3	4	4	5	4	2	4	6
51	5	5	5	4	5	4	3	4	5	5	4	5	5	5	6	4	4
52	7	2	7	7	4	6	7	1	2	4	7	7	7	7	7	3	2
53	6	6	6	5	3	6	6	3	6	3	5	6	6	6	7	4	5
54	5	4	2	1	6	5	3	1	6	4	2	5	5	6	2	3	2
