"Subno"	"stand1"	"stand2"	"stand3"	"stand4"	"stand5"	"stand6"	"stand7"	"stand8"	"stand9"	"stand10"	"stand11"	"stand12"	"stand13"	"stand14"	"stand15"	"stand16"	"stand17"
1	1	0	0	0	0	0	0	-1	0	0	0	0	3	0	0	1	0
2	1	-2	-1	-3	-2	-2	1	0	-2	-1	-2	-2	-1	-1	-2	-1	2
3	1	0	-1	-1	-2	1	-2	-2	-3	-1	0	0	1	0	1	0	1
4	2	-2	2	-2	-1	2	-1	1	-1	1	1	1	1	1	1	-1	2
5	1	1	0	-1	0	2	-1	1	1	1	1	1	3	1	0	1	0
6	3	-2	-1	-3	-3	1	-1	1	-3	2	-2	0	1	1	1	-1	2
7	3	1	1	-1	2	3	1	2	3	3	2	3	3	3	3	2	-2
8	0	-2	1	1	-1	2	-1	NA	0	-1	0	1	1	1	-2	0	-1
9	-2	-2	2	-2	0	1	-1	0	-2	0	0	1	1	0	1	0	1
10	2	1	0	0	0	0	-2	1	1	0	-3	-3	1	1	1	0	-1
11	1	1	-1	-2	-1	1	1	-1	-1	-1	-2	0	1	-1	0	0	-1
12	3	1	1	0	1	3	1	0	0	-1	2	3	3	1	2	0	-2
13	1	2	-2	-3	3	2	-2	1	-3	-1	-3	-2	2	2	2	-2	3
14	0	-1	-3	0	-1	2	2	2	-1	0	0	0	1	0	0	1	3
15	NA	-1	-1	-3	0	-3	-2	-1	-3	0	-2	-2	-2	0	-2	-2	0
16	1	-1	0	-3	1	0	-1	0	1	0	2	0	2	1	0	-2	0
17	2	-3	-2	-3	-3	-3	0	2	0	-1	-3	-3	-1	0	-1	-1	0
18	2	2	-1	-2	-3	2	0	1	2	0	-3	-3	2	2	1	3	1
19	2	-1	1	-2	2	2	0	1	1	0	1	0	2	2	2	2	2
20	3	0	1	-1	2	3	0	-1	-2	0	1	0	2	3	-2	-1	-3
21	-3	2	-1	0	-1	2	3	-3	-1	0	-1	-2	-3	-2	-1	1	-1
22	-2	-2	1	0	1	0	-1	1	0	1	1	1	3	1	1	1	1
23	3	-1	0	-1	-3	3	1	1	1	0	2	1	2	2	-1	2	2
24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	3	-2	3	2	-2	1	-2	1	-2	2	3	3	3	3	-2	-1	3
26	2	1	-2	1	-3	2	-3	-3	-3	3	-2	3	3	3	3	-2	0
27	2	0	1	1	1	-1	0	-1	-1	0	1	0	1	0	1	2	1
28	1	0	2	2	0	1	1	-1	0	0	1	2	-1	0	0	1	-2
29	3	1	3	1	2	3	-1	2	2	-3	0	1	-2	3	-1	2	2
30	1	3	-2	-1	-3	1	0	2	0	-1	-3	-1	1	2	-3	-1	1
31	0	3	1	-2	-1	3	2	1	-1	2	-3	2	3	3	2	-1	2
32	0	-1	0	-2	-1	1	0	-1	0	0	0	2	0	0	0	1	-3
33	0	0	0	-1	-1	1	0	1	1	-1	0	1	1	-1	NA	0	2
34	3	2	-1	1	0	3	1	1	2	2	0	3	3	3	0	3	0
35	-1	-1	0	2	-2	3	3	1	-1	-1	2	3	3	3	2	0	0
36	1	-3	0	2	-2	-2	-1	2	-2	-2	-2	0	1	0	1	-2	-3
37	2	-3	-2	-2	-2	2	0	-1	-1	1	-3	3	0	2	0	-2	2
38	2	-1	-1	-1	1	1	1	1	0	0	-1	2	2	1	1	2	2
39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	3	-2	-3	1	-3	3	1	2	-3	3	-3	2	1	3	3	-2	-3
41	-1	1	-2	-3	-2	1	0	1	1	2	0	1	1	2	0	0	0
42	1	-1	-1	-3	-3	-1	-2	1	-2	0	-2	-2	2	1	-1	2	0
43	2	-1	-1	-1	-2	-1	-1	0	-1	1	-1	1	2	2	0	0	2
44	1	0	3	0	0	2	3	-2	0	3	3	2	3	3	3	0	-3
45	1	-3	3	-3	0	-1	-3	1	-1	-1	-2	2	2	1	3	-1	0
46	2	2	-3	-3	-2	3	-2	2	-3	-1	1	-2	2	3	-1	-1	-1
47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	0	-3	-1	-3	-1	2	2	2	-1	0	-1	2	3	3	0	-1	1
49	3	-3	-1	-3	2	3	1	2	2	1	-2	1	2	1	2	0	2
50	2	2	0	-1	0	1	0	1	1	-1	0	0	1	0	-2	1	-2
51	1	-1	1	0	-1	0	-1	-1	-1	1	0	1	1	1	2	1	0
52	3	2	3	3	0	2	3	2	2	0	3	3	3	3	3	2	2
53	2	-2	2	1	1	2	2	0	-2	-1	1	2	2	2	3	1	-1
54	1	0	-2	-3	-2	1	-1	2	-2	0	-2	1	1	2	-2	2	2
